Real_Estate_Type,Location,Price,Down_Payment,Currency,Bedrooms_Number,Bathrooms_Number,Area,Description
Apartment,"Rehab City Compound, New Cairo, Cairo","7,850,000",None,EGP,3,3,166 Sq. M.,"For sale in Rehab City, 166 square meters, the best phases of Rehab City."
Apartment,"The Address East Compound, 5th Settlement, New Cairo, Cairo","7,700,000","Down payment: EGP 3,080,000",EGP,3,2,144 Sq. M.,"Fully finished 145 sqm apartment in The Address East, Fifth Settlement | 8% cash discount | Immediate delivery"
Apartment,"Rehab City Compound, New Cairo, Cairo","8,200,000",None,EGP,3,2,121 Sq. M.,"For lovers of ground floor apartments with a garden, an apartment for sale in Rehab City, next to the Eastern Market, services, and the bank complex."
Apartment,"Rehab City Compound, New Cairo, Cairo","5,800,000",None,EGP,3,2,108 Sq. M.,"For sale in Rehab City, in a very prime location, Phase 3."
Apartment,"5th Settlement, New Cairo, Cairo","3,456,000",None,EGP,3,3,170 Sq. M.,Ready to move in: 170 sqm apartment for sale in a fully serviced compound in the Fifth Settlement - Golden Square
Apartment,"La Mirada Compound, 5th Settlement, New Cairo, Cairo","7,500,000",None,EGP,3,3,175 Sq. M.,Apartment for sale in new cairo compound la mirada Fifth settlement Ready to move very prime location
Apartment,"5th Settlement, New Cairo, Cairo","9,900,000","Down payment: EGP 3,960,000",EGP,3,3,170 Sq. M.,All set for the move - Apartment - Hot Price - Notable View - 8% Cash Discount
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","14,900,000","Down payment: EGP 1,490,000",EGP,3,3,161 Sq. M.,Apartment - Unique View & Location- 10% DownPayment - 5 years installments
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","14,950,000","Down payment: EGP 1,495,000",EGP,3,3,159 Sq. M.,Apartment - Delivering in months- Prime View - 10% DownPayment - 5 years installments
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","14,500,000","Down payment: EGP 1,450,000",EGP,3,3,152 Sq. M.,Apartment - Remarkable View - 10% DownPayment - 5 years installments
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","14,515,000","Down payment: EGP 1,451,500",EGP,3,3,152 Sq. M.,Apartment - Prime Location - Landscape View- 10% DownPayment - 5 years installments
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","14,100,000","Down payment: EGP 1,410,000",EGP,2,2,138 Sq. M.,Apartment-  Private Garden - Prime Location - 10% DownPayment - 5 years installments
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","14,140,000","Down payment: EGP 1,414,000",EGP,2,2,138 Sq. M.,Garden Apartment - 1 Year Delivery - Prime Location - 10% DownPayment - 5 years installments
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","11,600,000","Down payment: EGP 1,160,000",EGP,2,2,130 Sq. M.,Apartment - 1 Year Delivery - Significant View - 10% DownPayment - 5 years installments
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","11,700,000","Down payment: EGP 1,170,000",EGP,2,2,130 Sq. M.,Apartment - 1 Year Delivery - Prime Location - 10% DownPayment - 5 years installments
Apartment,"5th Settlement, New Cairo, Cairo","9,900,000","Down payment: EGP 3,960,000",EGP,3,3,159 Sq. M.,Apartment- Private garden-Set to move - Prime View - 8% Cash Discount
Apartment,"5th Settlement, New Cairo, Cairo","9,900,000","Down payment: EGP 3,960,000",EGP,3,3,159 Sq. M.,Garden Apartment-Set to move - Prime View - 8% Cash Discount
Apartment,"5th Settlement, New Cairo, Cairo","8,700,000","Down payment: EGP 3,480,000",EGP,3,3,140 Sq. M.,Set to move -  Garden Apartment - Amazing Price - Prime View - 8% Cash Discount
Apartment,"5th Settlement, New Cairo, Cairo","8,700,000","Down payment: EGP 3,480,000",EGP,3,3,140 Sq. M.,Move-in ready -  Garden Apartment - WOW Price - Exclusive View - 8% Cash Discount
Apartment,"5th Settlement, New Cairo, Cairo","9,900,000","Down payment: EGP 3,960,000",EGP,3,3,170 Sq. M.,Move-in ready -  Garden Apartment - WOW Price - Exclusive View - 8% Cash Discount
Apartment,"5th Settlement, New Cairo, Cairo","8,800,000","Down payment: EGP 3,520,000",EGP,3,3,159 Sq. M.,Ready to move - Apartment - Special Price - Prime View - Big Cash Discount
Apartment,"Taj City Compound, 1st Settlement, New Cairo, Cairo","1,061,600",0% Down Payment,EGP,2,3,131 Sq. M.,Apartment for sale – prime location directly in front of Cairo Airport on the extension of Heliopolis in Taj City Compound – with 12-year installment
Apartment,"Al Maqsad, New Capital City, Cairo","3,000,000",0% Down Payment,EGP,3,2,152 Sq. M.,"Receive and inspect your apartment for the first time in Al Maqsad Compound, fully finished."
Apartment,"The Address East Compound, 5th Settlement, New Cairo, Cairo","10,386,000","Down payment: EGP 1,557,900",EGP,3,3,171 Sq. M.,"Fully finished apartment for sale, 171 sqm, ready to move, ready for viewing"
Apartment,"5th Settlement, New Cairo, Cairo","1,000,000",0% Down Payment,EGP,2,3,145 Sq. M.,"Not advertising talk – come see for yourself, Luxury apartment for sale with garden – fully finished in a prime location in the Fifth Settlement New C"
Apartment,"Taj City Compound, 1st Settlement, New Cairo, Cairo","5,500,000",0% Down Payment,EGP,2,2,129 Sq. M.,Under Market Price Resale Apartment Ready To Move  At The Best Location Landscape View
Apartment,"Mountain View Hyde Park Compound, 5th Settlement, New Cairo, Cairo","9,500,000",None,EGP,3,3,161 Sq. M.,Resale Apartment Fully Finished With AC Ready To Move Greenery View At The Best Location
Apartment,"Rehab City Compound, New Cairo, Cairo","5,200,000",None,EGP,2,1,99 Sq. M.,"Apartment for sale 99 m in Rehab City at a special price, with a wide garden view, near the Eastern Market | Rehab City"
Apartment,"Rehab City Compound, New Cairo, Cairo","4,900,000",None,EGP,2,2,80 Sq. M.,"For sale in Rehab for lovers of the ground floor with a garden, the most beautiful phase of Rehab 4"
Apartment,"Al Maqsad, New Capital City, Cairo","5,500,000","Down payment: EGP 550,000",EGP,2,2,182 Sq. M.,"Fully finished apartment for immediate delivery in Al Maqsad Compound in R7 in the Administrative Capital, 10-year installments without interest"
Apartment,"Rehab City Compound, New Cairo, Cairo","7,500,000",None,EGP,3,3,176 Sq. M.,"A bargain apartment of 176 square meters in Rehab City, with an elevator and special finishes."
Apartment,"Al Maqsad, New Capital City, Cairo","3,512,000",None,EGP,3,3,157 Sq. M.,"3 Bed Apartment Fully Finished – For Sale in Al Maqsad , New Capital By Install, up to 10 years ."
Apartment,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo","6,410,852",None,EGP,3,3,140 Sq. M.,Apartment With Landscape & Water features View MV
Apartment,"The Waterway Compound, 5th Settlement, New Cairo, Cairo","12,700,000","Down payment: EGP 6,700,000",EGP,2,2,132 Sq. M.,Resale apartment for sale in 5th settlement with the lowest down payment and remaining installments
Apartment,"Zamalek, Cairo","38,000,000",None,EGP,6,3,360 Sq. M.,Apartment - 6 bedrooms - Nile View - Fully finished and furnished With AC’s - in Zamalek
Apartment,"5th Settlement, New Cairo, Cairo","8,500,000","Down payment: EGP 3,400,000",EGP,3,3,159 Sq. M.,Apartment-Ready to move -Spectacular View - Competitive Price
Apartment,"5th Settlement, New Cairo, Cairo","8,500,000","Down payment: EGP 3,400,000",EGP,3,3,159 Sq. M.,Apartment-Ready to move -Prime View & Price- Fifth settlement - 40% DP
Apartment,"5th Settlement, New Cairo, Cairo","8,800,000","Down payment: EGP 3,520,000",EGP,3,3,159 Sq. M.,167 meters ApartmentReady to move - Fifth settlement - Special Price
Apartment,"5th Settlement, New Cairo, Cairo","7,800,000","Down payment: EGP 3,120,000",EGP,3,3,147 Sq. M.,Ready to move - Apartment - In the heart of Fifth settlement - Special price
Apartment,"5th Settlement, New Cairo, Cairo","7,800,000","Down payment: EGP 3,120,000",EGP,3,3,144 Sq. M.,Apartment- Ready to live  - Amazing Lanscape View - Fifth Settlement -Special Price
Apartment,"5th Settlement, New Cairo, Cairo","7,400,000","Down payment: EGP 2,960,000",EGP,3,3,140 Sq. M.,Apartment-Ready to live in  - distictive view - Fifth Settlement - 3M Downpayment
Apartment,"5th Settlement, New Cairo, Cairo","7,500,000","Down payment: EGP 3,000,000",EGP,3,3,140 Sq. M.,Apartment-Ready to move  - Special Location - Fifth Settlement - Special Cash discount
Apartment,"5th Settlement, New Cairo, Cairo","8,700,000","Down payment: EGP 3,480,000",EGP,3,3,140 Sq. M.,Apartment in Jardin ready to move in and finished for immediate delivery with facilities for the longest period of time
Apartment,"5th Settlement, New Cairo, Cairo","7,500,000","Down payment: EGP 3,000,000",EGP,2,2,121 Sq. M.,"Apartment in a spacious garden, finished with ultra-super lux, ready to move in and receive immediate delivery"
Apartment,"5th Settlement, New Cairo, Cairo","7,700,000","Down payment: EGP 3,080,000",EGP,3,3,145 Sq. M.,A ready-to-move-in apartment finished and ready to move in with facilities for the longest period of time
Apartment,"5th Settlement, New Cairo, Cairo","7,800,000","Down payment: EGP 3,120,000",EGP,3,3,147 Sq. M.,Ready to move - 3 Bed Apartment - in the middle of Fifth settlement - Special view
Apartment,"5th Settlement, New Cairo, Cairo","7,800,000","Down payment: EGP 3,120,000",EGP,3,3,145 Sq. M.,Apartment- Ready to move  - Amazing Double View - Fifth Settlement
Apartment,"Madinaty, Cairo","5,420,000",None,EGP,3,3,127 Sq. M.,"For sale in the best phases of Madinaty, an apartment of 127 square meters with an old reservation, not injured, with immediate delivery in Madinaty |"
Apartment,"Promenade New Cairo Compound, 5th Settlement, New Cairo, Cairo","7,385,301",None,EGP,3,3,225 Sq. M.,"Move into your new apartment immediately in Promenade New Cairo in the heart of the Golden Square, the most prestigious area in New Cairo!"
Apartment,"Scenario, New Capital City, Cairo","5,836,359","Down payment: EGP 740,000",EGP,4,3,198 Sq. M.,Immediate Delivery Apartment Next to the British University with Just 740K EGP Down Payment!
Apartment,"Sarai, Mostakbal City, Cairo","4,300,000",None,EGP,2,2,122 Sq. M.,"Ground floor unit w/ 100m garden, lagoon & compound view, 2 beds, 2 baths, 122m indoors – Immediate delivery at EGP 4,300,000"
Apartment,"Madinaty, Cairo","11,000,000",None,EGP,3,3,180 Sq. M.,"Apartment for sale in Madinaty, ground floor 180-65 with garden, special finishing next to services B1"
Apartment,"6th Settlement, New Cairo, Cairo","8,700,000","Down payment: EGP 870,000",EGP,3,3,181 Sq. M.,3-bedroom apartment - delivery within a year - 10% down payment - 7 years installment - next to Zed East
Apartment,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo","14,516,000","Down payment: EGP 1,451,600",EGP,3,2,170 Sq. M.,"A 170-square-meter apartment with immediate delivery, overlooking the landscape, in Mountain View iCity. Fully finished and with facilities up to 8 ye"
Apartment,"Rehab City Compound, New Cairo, Cairo","6,500,000",None,EGP,3,2,131 Sq. M.,"Apartment for sale, 131 square meters, at a commercial price, first floor"
Apartment,"5th Settlement, New Cairo, Cairo","7,500,000","Down payment: EGP 2,999,992",EGP,2,2,120 Sq. M.,Apartment-Garden- Ready to move- Prime Location - 8% Discount on Cash Payment
Apartment,"5th Settlement, New Cairo, Cairo","8,500,000","Down payment: EGP 3,400,000",EGP,3,3,159 Sq. M.,Apartment-Ready to move- Special Price - Prime Location in 5th Settlement
Apartment,"5th Settlement, New Cairo, Cairo","7,500,000","Down payment: EGP 3,000,000",EGP,3,3,140 Sq. M.,Ready to move - Apartment - Prime Location - Fifth Settlement - Special Cash discount
Apartment,"5th Settlement, New Cairo, Cairo","18,150,000","Down payment: EGP 4,537,500",EGP,3,3,160 Sq. M.,Apartment Open View Finished Ready to move Over 3 years
Apartment,"5th Settlement, New Cairo, Cairo","17,600,000","Down payment: EGP 4,400,000",EGP,3,3,160 Sq. M.,Apartment Lake View Finished Ready to move Over 3 years
Apartment,"The Butterfly, Mostakbal City, Cairo","4,600,000","Down payment: EGP 460,000",EGP,Studio,1,59 Sq. M.,"With a down payment of 460 thousand, own a studio in Garden City in Mostakbal City"
Apartment,"5th Settlement, New Cairo, Cairo","18,150,000","Down payment: EGP 4,537,500",EGP,3,3,165 Sq. M.,Garden Apartment 3 BR Finished Ready to move Over 3 years
Apartment,"5th Settlement, New Cairo, Cairo","12,100,000","Down payment: EGP 3,025,000",EGP,2,2,110 Sq. M.,Garden Apartment Finished Ready to move Next to Madinaty Over 3 years
Apartment,"Amorada Compound, 5th Settlement, New Cairo, Cairo","11,000,000",0% Down Payment,EGP,3,2,186 Sq. M.,"Apartment for immediate delivery, ultra super deluxe finishingand air conditioning"
Apartment,"5th Settlement, New Cairo, Cairo","7,500,000","Down payment: EGP 3,000,000",EGP,2,2,120 Sq. M.,Garden Apartment- Ready to move- Prime Location - Cash Payment Discount
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","15,200,000","Down payment: EGP 1,520,000",EGP,3,3,161 Sq. M.,Apartment Panorama Ready to move 10% dp over 5 years
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","14,700,000","Down payment: EGP 1,470,000",EGP,3,3,153 Sq. M.,Apartment under market price Ready to move 10% dp over 5 years
Apartment,"Mivida Compound, 5th Settlement, New Cairo, Cairo","16,000,000",None,EGP,2,2,112 Sq. M.,Resale Luxury Finished Ready To Move At The Best Location Pool View
Apartment,"Rehab City Compound, New Cairo, Cairo","7,700,000",None,EGP,3,3,139 Sq. M.,"A prime location that combines amenities and tranquility, next to the Rehab 2 service area."
Apartment,"City Oval, New Capital City, Cairo","2,212,000",None,EGP,2,1,93 Sq. M.,Apartment for sale in a prime location in the Administrative Capital with a 50% discount
Apartment,"Heliopolis, Cairo","6,200,000","Down payment: EGP 310,000",EGP,3,2,160 Sq. M.,"With the lowest down payment, a fully finished apartment with a kitchen, air conditioners and a garage next to City Center Almaza"
Apartment,"Heliopolis, Cairo","4,900,000","Down payment: EGP 245,000",EGP,2,2,100 Sq. M.,"The last two-bedroom apartment, fully finished, with air conditioning, kitchen and garage"
Apartment,"5th Settlement, New Cairo, Cairo","2,800,000",None,EGP,3,3,155 Sq. M.,Apartment in 5th Settlement for sale160m corner in the best location ready to move at lowest price open view with a wonderful desigin 5settelement
Apartment,"The Address East Compound, 5th Settlement, New Cairo, Cairo","5,870,000",None,EGP,3,2,140 Sq. M.,For sale apartment 140m fully finished ready to move at adress east new cairo landscape view
Apartment,"Beit Al Watan, 5th Settlement, New Cairo, Cairo","7,600,000","Down payment: EGP 3,040,000",EGP,3,3,270 Sq. M.,Immediate delivery apartment in the sixth district
Apartment,"Rehab City Compound, New Cairo, Cairo","7,600,000",None,EGP,3,3,168 Sq. M.,"A unit for sale at the fourth floor, 168 square meters with furniture and appliances, next to Talaat Mostafa Mosque."
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","7,400,000",None,EGP,3,3,195 Sq. M.,"Apartment for sale 195m with garden READY TO MOVE in Galleria, Fifth Settlement"
Apartment,"Shorouk City, Cairo","7,500,000","Down payment: EGP 2,000,000",EGP,3,3,261 Sq. M.,"Penthouse 261m at alsherouk1 , near to heliopolis club , in mini compound ,ready to move"
Apartment,"Rehab City Compound, New Cairo, Cairo","5,850,000",None,EGP,3,2,133 Sq. M.,"Apartment for sale in Rehab City, 133 m, distinctive view, special finishes, at a competitive price"
Apartment,"EL Patio ORO Compound, 5th Settlement, New Cairo, Cairo","16,100,000","Down payment: EGP 3,220,000",EGP,3,3,164 Sq. M.,Ground floor apartment with a garden - 3 rooms + 30 meters garden - immediate delivery - Fifth Settlement - near the American University.
Apartment,"Stoda Residence, Sheraton, Cairo","7,326,000","Down payment: EGP 732,600",EGP,3,1,154 Sq. M.,"The opportunity of a lifetime at Sheraton Airport, an immediate delivery apartment, fully finished, for sale in the Studa Compound at the highest disc"
Apartment,"EL Patio ORO Compound, 5th Settlement, New Cairo, Cairo","7,500,000",None,EGP,3,3,166 Sq. M.,Under Market Price For 3 BR Apt With Open View .
Apartment,"Mivida Compound, 5th Settlement, New Cairo, Cairo","20,500,000",None,EGP,2,2,156 Sq. M.,Fully finished Ground floor apartment for sale in Mivida
Apartment,"Al Maqsad, New Capital City, Cairo","3,000,000",None,EGP,3,1,134 Sq. M.,"For the first time, a 3-bedroom apartment for sale, immediate delivery, fully finished in Al Maqsad - New Administrative Capital - R3, with the highes"
Apartment,"Taj City Compound, 1st Settlement, New Cairo, Cairo","1,200,000",0% Down Payment,EGP,3,3,152 Sq. M.,"Apartment for sale in Taj City Compound, distinguished location directly in front of Cairo Airport and minutes from Heliopolis"
Apartment,"Rock Vera Compound, 5th Settlement, New Cairo, Cairo","6,055,000","Down payment: EGP 2,018,000",EGP,3,2,194 Sq. M.,"Apartment for immediate delivery for sale with installments over 6 years next to Hyde Park in Rock Vera, Fifth Settlement"
Apartment,"5th Settlement, New Cairo, Cairo","1,000,000",None,EGP,3,2,145 Sq. M.,"A luxury apartment for sale at the lowest price in the Fifth Settlement, directly on South Teseen Street, near the American University"
Apartment,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo","6,300,000","Down payment: EGP 5,000,000",EGP,3,3,165 Sq. M.,RTM Apartment in MV icity new cairo 3beds
Apartment,"Al Maqsad, New Capital City, Cairo","4,200,000",None,EGP,3,2,168 Sq. M.,Ready-to-Move Apartment on Al Maqsad Walk – New Administrative Capital – Open View
Apartment,"Galleria Compound, 5th Settlement, New Cairo, Cairo","14,300,000","Down payment: EGP 1,430,000",EGP,2,2,130 Sq. M.,"Apartment with garden, immediate delivery, 10% down payment, in an already inhabited compound next to SODIC Villette, available for viewing at any tim"
Apartment,"The Address East Compound, 5th Settlement, New Cairo, Cairo","7,800,000","Down payment: EGP 3,120,000",EGP,3,2,147 Sq. M.,147 sqm Apartment – 3 Bedrooms – in The Address East | Minutes from AUC | Ready to Move
Apartment,"Stoda Residence, Sheraton, Cairo","8,448,000",0% Down Payment,EGP,3,3,176 Sq. M.,"Fully finished apartment for sale in Sheraton directly on Suez Road, Ready to move"
Apartment,"5th Settlement, New Cairo, Cairo","6,150,000",0% Down Payment,EGP,3,2,145 Sq. M.,RTM fully finished apartment in 5th settlement  with installments
Apartment,"Maadi, Cairo","5,865,000","Down payment: EGP 703,800",EGP,1,1,30 Sq. M.,"Apartment ready for viewing on the Nile Corniche, Maadi, fully finished with furniture and appliances, with the highest rental return"
Apartment,"5th Settlement, New Cairo, Cairo","6,250,000",0% Down Payment,EGP,3,2,147 Sq. M.,Receive your 3bed fully finished Apartment immediately in 5th settlement with 5 years installments
Apartment,"5th Settlement, New Cairo, Cairo","5,950,000",0% Down Payment,EGP,3,2,140 Sq. M.,3bedrooms RTM fully finished apartment in 5th settlement with installments
Apartment,"The Square Compound, 5th Settlement, New Cairo, Cairo","6,300,000",None,EGP,3,3,168 Sq. M.,"3-bedroom apartment, immediate delivery, excellent price, area 168 square meters, for sale, semi-finished, first floor, in an excellent location."
Apartment,"Taj City Compound, 1st Settlement, New Cairo, Cairo","9,815,271","Down payment: EGP 490,763",EGP,2,2,117 Sq. M.,"With a 5% down payment and equal installments over 8 years, own your apartment next to the airport - in Taj City Compound - in the most distinguished"
Apartment,"Zamalek, Cairo","20,100,000","Down payment: EGP 2,512,500",EGP,2,1,109 Sq. M.,First Row Apartment With Full Nile View Fully Finished And furnished For Sale With Installments On Maadi Corniche
Apartment,"Sarai, Mostakbal City, Cairo","4,700,000","Down payment: EGP 470,000",EGP,1,2,80 Sq. M.,"Apartment for sale, immediate delivery in the Sarai compound in New Cairo, walled community, just minutes to the تجمع (Tagamoa)."
Apartment,"Palm Hills New Cairo Compound, 5th Settlement, New Cairo, Cairo","9,000,000",0% Down Payment,EGP,3,3,154 Sq. M.,Double View Apartment 5% down payment + equal installments over8 years without interest  prime location
Apartment,"Shorouk City, Cairo","4,200,000","Down payment: EGP 420,000",EGP,2,2,130 Sq. M.,Own and live in El Shorouk City at Laura Eastfield – a distinguished project with only 5% down payment and the longest payment plan!                 .
Apartment,"Taj City Compound, 1st Settlement, New Cairo, Cairo","8,300,000","Down payment: EGP 415,000",EGP,3,2,140 Sq. M.,"Apartment for sale (3 bedrooms) with a 42% discount in Taj City Compound, directly in front of Cairo Airport."
Apartment,"New Cairo, Cairo","15,500,000",None,EGP,3,3,205 Sq. M.,Apartment for sale ready to move prime location in New Cairo
Apartment,"The Address East Compound, 5th Settlement, New Cairo, Cairo","6,900,000","Down payment: EGP 2,760,000",EGP,3,1,144 Sq. M.,Apartment - 3 rooms - fully finished -  in The Address East - New Cairo - Fifth Settlement
Apartment,"Taj City Compound, 1st Settlement, New Cairo, Cairo","5,000,000",None,EGP,2,2,128 Sq. M.,"Own your apartment128m, book and contract on the same day with a distinctive view, Taj City"
Apartment,"The Address East Compound, 5th Settlement, New Cairo, Cairo","9,400,000","Down payment: EGP 1,410,000",EGP,3,3,160 Sq. M.,Ground floor apartment with garden - 3 rooms - immediate delivery - Fifth Settlement - New Cairo
Apartment,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo","6,850,000",None,EGP,2,2,125 Sq. M.,Ready To Move Apartment For Sale In Mountain view I city Compound  Prime Location Land scape view
Apartment,"Bloomfields, Mostakbal City, Cairo","6,500,000",None,EGP,2,1,122 Sq. M.,"Apartment 122 m², 40% discount, fully finished, prime location in New Cairo"
Apartment,"Al Maqsad, New Capital City, Cairo","4,300,000","Down payment: EGP 430,000",EGP,3,2,135 Sq. M.,"Apartment for sale, 135 sqm, ready for immediate delivery, finished, in the New Capital."
Apartment,"Madinaty, Cairo","4,150,000",None,EGP,2,1,82 Sq. M.,"Apartment for sale in Madinaty B7, immediate delivery, 85 m, distinguished location and view"
Apartment,"Fifth Square Compound, 5th Settlement, New Cairo, Cairo","9,300,000","Down payment: EGP 3,875,000",EGP,3,2,147 Sq. M.,Apartment for sale in Almarasem ready to move fully finished with Acs
Apartment,"Madinaty, Cairo","4,150,000",None,EGP,2,1,82 Sq. M.,Apartment for Rent in madinaty in B7
Apartment,"The Address East Compound, 5th Settlement, New Cairo, Cairo","7,500,000","Down payment: EGP 3,000,000",EGP,2,2,121 Sq. M.,Apartment for sale at The Address East90Street RTM
Apartment,"5th Settlement, New Cairo, Cairo","5,900,000",None,EGP,3,2,140 Sq. M.,The Address East - Dorra fully finished 3 bedrooms Ready to Move over 5 years
Apartment,"5th Settlement, New Cairo, Cairo","8,500,000","Down payment: EGP 3,400,000",EGP,3,3,160 Sq. M.,Apartment Finished Lake View Ready to move under price market
Apartment,"Privado, Madinaty, Cairo","8,974,230","Down payment: EGP 3,727,000",EGP,2,1,82 Sq. M.,"Apartment for sale, 82 m², fully furnished, with air conditioning, in the club and garage, overlooking the lakes and landscape in Privado Madinaty, at"
Apartment,"Mountain View Hyde Park Compound, 5th Settlement, New Cairo, Cairo","19,900,000",Down payment: EGP 990,EGP,3,3,202 Sq. M.,"Apartment for immediate delivery in Mountain View Hyde Park, Fifth Settlement"
Apartment,"Madinaty, Cairo","6,800,000","Down payment: EGP 5,000,000",EGP,3,2,140 Sq. M.,"Apartment for sale in Madinaty 140 m , ground floor with private garden in Madinaty - B10 | Ultra super deluxe finishing | 140m + 50m garden"
Apartment,"5th Settlement, New Cairo, Cairo","7,800,000","Down payment: EGP 3,120,000",EGP,3,3,147 Sq. M.,Apartment Finished Panorama Ready to move under price market
Apartment,"Al Maqsad, New Capital City, Cairo","3,300,000",None,EGP,2,2,185 Sq. M.,"Super Lux Apartment for Sale in Al-Maqsad, New Administrative Capital – 158 sqm – 2 Bedrooms – At a Competitive Price"
